"","TYP_DIPL","DEGETU","CURSUS_LMD","RES"
"10947","CY",1,"L","N"
"10948","XA",3,"L","O"
"10949","XA",3,"L","O"
"10950","XA",3,"L","O"
"10951","DP",3,"L","O"
"10952","XA",2,"L","N"
"10953","IB",3,"M","N"
"10954","XA",2,"L","N"
"10955","PF",4,"M","N"
"10956","XB",4,"M","N"
"10957","PF",2,"M","N"
"10958","XA",3,"L","O"
"10959","01",3,"L","O"
"10960","PF",4,"M","N"
"10961","CB",2,"L","O"
"10962","CB",1,"L","N"
"10963","XA",1,"L","N"
"10964","01",3,"L","N"
"10965","DP",3,"L","O"
"10966","XB",4,"M","N"
"10967","XA",3,"L","O"
"10968","XA",1,"L","N"
"10969","XB",5,"M","O"
"10970","XB",5,"M","O"
"10971","JD",6,"M","N"
"10972","PF",2,"M","N"
"10973","DP",3,"L","O"
"10974","XA",3,"L","O"
"10975","CB",1,"L","N"
"10976","XA",2,"L","N"
"10977","CB",2,"L","O"
"10978","01",2,"L","O"
"10979","CY",1,"L","N"
"10980","PF",4,"M","N"
"10981","XB",5,"M","O"
"10982","CY",1,"L","N"
"10983","IB",4,"M","N"
"10984","XB",5,"M","O"
"10985","XA",1,"L","N"
"10986","XA",1,"L","N"
"10987","XA",2,"L","N"
"10988","FI",4,"M","N"
"10989","XA",1,"L","N"
"10990","PE",2,"M","N"
"10991","DP",3,"L","O"
"10992","XA",3,"L","O"
"10993","CB",1,"L","N"
"10994","IB",3,"M","N"
"10995","XA",3,"L","O"
"10996","XA",1,"L","N"
"10997","MA",6,"M","N"
"10998","XB",4,"M","N"
"10999","XB",4,"M","N"
"11000","XA",3,"L","O"
"11001","CB",1,"L","N"
"11002","JD",6,"M","N"
"11004","XA",2,"L","N"
"11005","XB",5,"M","O"
"11006","FH",6,"M","N"
"11007","DP",3,"L","N"
"11008","XA",1,"L","N"
"11009","XA",2,"L","N"
"11010","IB",3,"M","N"
"11011","XA",3,"L","O"
"11012","XA",3,"L","O"
"11013","CB",1,"L","N"
"11014","FI",5,"M","O"
"11015","XB",5,"M","O"
"11016","XA",1,"L","N"
"11017","CB",1,"L","N"
"11018","FE",5,"M","O"
"11019","XB",5,"M","O"
"11020","XB",5,"M","N"
"11021","CD",1,"L","N"
"11023","XA",2,"L","N"
"11024","FI",5,"M","O"
"11025","CB",2,"L","O"
"11026","01",6,"M","O"
"11027","XB",4,"M","N"
"11028","XA",1,"L","N"
"11029","XB",4,"M","N"
"11030","XB",4,"M","N"
"11031","XB",4,"M","N"
"11032","XA",1,"L","N"
"11033","XA",1,"L","N"
"11034","XB",4,"M","N"
"11035","PM",3,"L","N"
"11036","FH",2,"M","N"
"11037","XA",1,"L","N"
"11038","XA",1,"L","N"
"11039","XA",3,"L","O"
"11040","XA",1,"L","N"
"11041","XB",5,"M","O"
"11042","FI",5,"M","O"
"11043","CY",1,"L","N"
"11044","XB",5,"M","O"
"11045","XA",3,"L","O"
"11046","JD",6,"M","N"
"11047","IB",3,"M","N"
"11048","DP",3,"L","O"
"11049","DP",3,"L","O"
"11050","FH",5,"M","N"
"11051","XA",2,"L","N"
"11052","XA",3,"L","N"
"11053","XB",4,"M","N"
"11054","XA",1,"L","N"
"11055","XB",4,"M","N"
"11056","XA",2,"L","N"
"11057","XA",1,"L","N"
"11058","FH",5,"M","N"
"11059","PE",3,"M","N"
"11060","XA",1,"L","N"
"11061","XA",2,"L","N"
"11062","XA",1,"L","N"
"11063","CY",1,"L","N"
"11064","XB",5,"M","O"
"11065","PF",4,"M","N"
"11066","01",3,"L","O"
"11067","CB",2,"L","O"
"11068","01",0,"L","O"
"11069","PF",2,"M","N"
"11070","FH",2,"M","N"
"11071","IB",3,"M","N"
"11072","XA",1,"L","N"
"11073","XB",5,"M","N"
"11074","XA",3,"L","O"
"11075","XA",1,"L","N"
"11076","FH",5,"M","N"
"11077","PF",3,"M","N"
"11078","XA",3,"L","O"
"11079","DP",3,"L","O"
"11080","XA",3,"L","N"
"11081","XB",4,"M","N"
"11082","01",3,"L","N"
"11083","XA",2,"L","N"
"11084","XB",5,"M","O"
"11085","FN",5,"M","O"
"11086","XA",3,"L","O"
"11087","XB",4,"M","N"
"11088","CY",1,"L","N"
"11090","XA",2,"L","N"
"11091","PG",1,"L","N"
"11092","XA",1,"L","N"
"11093","XB",5,"M","O"
"11094","CY",1,"L","N"
"11095","JD",6,"M","N"
"11096","XA",1,"L","N"
"11097","01",6,"M","O"
"11098","PF",4,"M","N"
"11099","PF",4,"M","N"
"11100","XA",2,"L","N"
"11103","FI",2,"M","N"
"11104","PE",2,"M","N"
"11105","XA",2,"L","N"
"11106","JC",6,"M","N"
"11107","FI",4,"M","N"
"11108","PF",4,"M","N"
"11109","PL",4,"M","N"
"11110","XA",1,"L","N"
"11111","JD",6,"M","N"
"11112","XA",1,"L","N"
"11113","XA",2,"L","N"
"11114","01",3,"L","O"
"11115","XB",5,"M","O"
"11116","XB",4,"M","N"
"11117","XA",2,"L","N"
"11118","XA",2,"L","N"
"11119","DP",3,"L","N"
"11120","XA",2,"L","N"
"11121","IB",3,"M","N"
"11122","CY",1,"L","N"
"11123","XB",5,"M","O"
"11124","KG",6,"M","N"
"11125","XA",1,"L","N"
"11126","CB",2,"L","O"
"11128","XA",1,"L","N"
"11129","XA",2,"L","N"
"11130","XB",4,"M","N"
"11132","FH",6,"M","N"
"11133","01",4,"M","O"
"11134","FH",6,"M","N"
"11135","CY",1,"L","N"
"11136","XA",1,"L","N"
"11137","PM",2,"L","N"
"11138","01",6,"M","O"
"11139","XA",3,"L","O"
"11140","XA",1,"L","N"
"11141","PF",2,"M","N"
"11142","XB",5,"M","O"
"11143","XA",1,"L","N"
"11144","PF",2,"M","N"
"11145","XA",1,"L","N"
"11146","01",3,"L","O"
"11147","XA",1,"L","N"
"11148","01",3,"L","O"
"11149","01",3,"L","N"
"11150","XA",3,"L","O"
"11151","XB",5,"M","O"
"11152","XA",1,"L","N"
"11153","XA",2,"L","N"
"11155","XA",1,"L","N"
"11156","CY",1,"L","N"
"11157","XA",1,"L","N"
"11158","PF",3,"M","N"
"11159","CY",1,"L","N"
"11160","CY",1,"L","N"
"11161","XB",5,"M","O"
"11162","CB",2,"L","O"
"11163","XB",4,"M","N"
"11165","CY",1,"L","N"
"11166","01",6,"M","N"
"11167","CY",1,"L","N"
"11168","01",2,"L","O"
"11169","DP",3,"L","O"
"11170","DP",3,"L","N"
"11171","XA",1,"L","N"
"11174","01",3,"L","O"
"11175","FN",3,"M","N"
"11176","DP",3,"L","O"
"11177","XA",1,"L","N"
"11178","DP",3,"L","O"
"11179","01",3,"L","O"
"11180","01",2,"L","O"
"11181","01",0,"L","O"
"11182","XA",3,"L","O"
"11183","XA",2,"L","N"
"11184","XB",5,"M","O"
"11185","IB",2,"M","N"
"11186","XB",4,"M","N"
"11187","XA",1,"L","N"
"11188","XA",2,"L","N"
"11189","XA",2,"L","N"
"11190","XA",1,"L","N"
"11191","XA",3,"L","O"
"11192","XB",5,"M","O"
"11194","XA",3,"L","O"
"11195","CB",2,"L","O"
"11197","XB",4,"M","N"
"11198","XB",5,"M","O"
"11199","XA",3,"L","N"
"11200","CY",1,"L","N"
"11201","DP",3,"L","O"
"11202","XA",2,"L","N"
"11203","XB",5,"M","O"
"11204","XA",3,"L","O"
"11205","XA",1,"L","N"
"11206","XA",1,"L","N"
"11207","DP",3,"L","O"
"11208","XA",1,"L","N"
"11209","XA",2,"L","N"
"11211","XA",1,"L","N"
"11212","FN",3,"M","N"
"11213","XA",1,"L","N"
"11214","01",6,"M","O"
"11215","XA",1,"L","N"
"11216","CB",1,"L","N"
"11217","XA",2,"L","N"
"11218","DP",3,"L","O"
"11219","XA",1,"L","N"
"11220","XA",2,"L","N"
"11221","XA",3,"L","N"
"11222","PE",3,"M","N"
"11223","XA",2,"L","N"
"11224","XA",2,"L","N"
"11225","XB",4,"M","N"
"11226","XA",1,"L","N"
"11227","XA",2,"L","N"
"11228","DP",3,"L","O"
"11229","XB",5,"M","O"
"11230","XA",1,"L","N"
"11231","CB",2,"L","O"
"11232","XB",4,"M","N"
"11233","XA",1,"L","N"
"11234","XA",2,"L","N"
"11235","IB",5,"M","N"
"11236","XB",4,"M","N"
"11237","XA",3,"L","O"
"11239","CY",1,"L","N"
"11240","XB",4,"M","N"
"11241","XB",5,"M","O"
"11242","FH",6,"M","O"
"11243","XA",2,"L","N"
"11244","XA",3,"L","N"
"11245","XA",1,"L","N"
"11246","XB",4,"M","N"
"11247","XA",3,"L","O"
"11248","XA",1,"L","N"
"11249","XA",1,"L","N"
"11250","XB",4,"M","N"
"11251","CB",2,"L","O"
"11252","CB",2,"L","O"
"11253","XA",1,"L","N"
"11254","01",2,"L","N"
"11255","XA",3,"L","O"
"11256","FH",5,"M","N"
"11257","CB",1,"L","N"
"11258","XB",5,"M","O"
"11259","XB",5,"M","O"
"11260","CB",1,"L","N"
"11263","XA",1,"L","N"
"11264","XA",2,"L","N"
"11265","JD",6,"M","O"
"11266","XA",1,"L","N"
"11267","XB",4,"M","N"
"11268","IB",3,"M","N"
"11269","FH",6,"M","N"
"11270","DP",3,"L","O"
"11271","CB",1,"L","N"
"11272","XA",1,"L","N"
"11273","XA",3,"L","N"
"11274","DP",3,"L","O"
"11275","XB",4,"M","N"
"11276","CB",1,"L","N"
"11277","JD",6,"M","N"
"11278","XA",1,"L","N"
"11280","XA",1,"L","N"
"11281","CB",1,"L","N"
"11282","PG",3,"L","O"
"11283","CB",2,"L","O"
"11284","XA",2,"L","N"
"11285","XB",4,"M","N"
"11286","XB",5,"M","O"
"11287","DP",3,"L","O"
"11288","JD",6,"M","N"
"11289","CB",1,"L","N"
"11290","XB",5,"M","O"
"11291","XB",5,"M","O"
"11292","PF",3,"M","N"
"11293","CB",1,"L","N"
"11294","XA",3,"L","O"
"11295","XB",4,"M","N"
"11296","XB",5,"M","O"
"11297","CB",2,"L","O"
"11299","XA",2,"L","N"
"11300","CB",2,"L","O"
"11301","XA",2,"L","N"
"11302","XA",3,"L","O"
"11303","UC",2,"L","N"
"11304","XA",1,"L","N"
"11305","XB",5,"M","O"
"11306","XA",3,"L","N"
"11307","IB",5,"M","N"
"11308","FH",6,"M","N"
"11309","XA",2,"L","N"
"11310","XA",1,"L","N"
"11311","JD",6,"M","N"
"11312","XA",1,"L","N"
"11313","DP",3,"L","O"
"11314","IB",4,"M","N"
"11315","XB",4,"M","N"
"11316","IB",6,"M","N"
"11317","XA",1,"L","N"
"11318","XB",4,"M","N"
"11320","XB",5,"M","N"
"11321","01",6,"M","N"
"11322","XA",1,"L","N"
"11323","XA",1,"L","N"
"11324","XA",3,"L","O"
"11325","XA",1,"L","N"
"11326","XB",4,"M","N"
"11327","XA",3,"L","O"
"11328","CB",2,"L","O"
"11329","XA",1,"L","N"
"11330","DP",3,"L","O"
"11331","XA",1,"L","N"
"11332","XA",1,"L","N"
"11333","FE",3,"M","N"
"11334","DP",3,"L","O"
"11336","XA",3,"L","N"
"11337","XB",5,"M","O"
"11338","DP",3,"L","O"
"11339","XA",1,"L","N"
"11341","PF",5,"M","O"
"11342","CB",2,"L","O"
"11343","XA",1,"L","N"
"11344","XA",2,"L","N"
"11345","XA",1,"L","N"
"11346","XA",1,"L","N"
"11347","CY",1,"L","N"
"11348","DP",3,"L","O"
"11349","CB",2,"L","O"
"11350","XB",4,"M","N"
"11351","CB",1,"L","N"
"11352","CB",2,"L","O"
"11353","XA",1,"L","N"
"11354","CB",1,"L","N"
"11355","XB",5,"M","O"
"11356","XA",1,"L","N"
"11357","XA",1,"L","N"
"11358","XA",3,"L","O"
"11359","XA",1,"L","N"
"11360","XA",1,"L","N"
"11362","XA",3,"L","O"
"11363","CB",2,"L","O"
"11364","XA",1,"L","N"
"11365","XB",4,"M","N"
"11366","XA",3,"L","N"
"11367","FH",2,"M","N"
"11369","XA",3,"L","O"
"11370","XA",1,"L","N"
"11371","CB",1,"L","N"
"11372","XA",1,"L","N"
"11373","CB",1,"L","N"
"11374","XB",5,"M","O"
"11375","XB",5,"M","O"
"11376","XA",3,"L","O"
"11377","XB",4,"M","N"
"11378","XA",2,"L","N"
"11379","JD",6,"M","N"
"11380","XB",4,"M","N"
"11381","CY",1,"L","N"
"11382","CY",1,"L","N"
"11383","FH",3,"M","N"
"11384","IB",3,"M","N"
"11385","01",0,"L","N"
"11386","XA",1,"L","N"
"11387","XA",1,"L","N"
"11388","XB",5,"M","O"
"11389","FH",6,"M","N"
"11391","XA",1,"L","N"
"11392","XB",5,"M","O"
"11393","XB",5,"M","O"
"11395","PF",3,"M","N"
"11396","XB",5,"M","O"
"11397","CY",1,"L","N"
"11398","FE",5,"M","O"
"11399","XB",5,"M","O"
"11400","IB",6,"M","N"
"11401","XB",4,"M","N"
"11403","XA",1,"L","N"
"11404","JD",6,"M","N"
"11405","IB",6,"M","N"
"11406","XA",3,"L","N"
"11408","XA",1,"L","N"
"11409","CY",1,"L","N"
"11410","XA",3,"L","O"
"11411","XA",1,"L","N"
"11412","PF",3,"M","N"
"11413","CB",2,"L","O"
"11414","XA",1,"L","N"
"11415","CY",1,"L","N"
"11416","DP",3,"L","N"
"11417","DP",3,"L","O"
"11418","DP",3,"L","N"
"11419","XA",1,"L","N"
"11421","JD",6,"M","N"
"11422","XA",1,"L","N"
"11423","DP",3,"L","O"
"11424","XB",5,"M","O"
"11425","XB",4,"M","N"
"11426","PM",1,"L","N"
"11427","XA",2,"L","N"
"11428","DP",3,"L","O"
"11429","XB",5,"M","O"
"11430","XA",1,"L","N"
"11431","DP",3,"L","O"
"11432","01",3,"L","N"
"11433","JD",6,"M","N"
"11434","DP",3,"L","O"
"11435","XA",3,"L","O"
"11436","XA",1,"L","N"
"11437","XA",2,"L","N"
"11438","CB",1,"L","N"
"11439","XA",3,"L","O"
"11440","XA",1,"L","N"
"11441","XB",4,"M","N"
"11442","XA",1,"L","N"
"11444","XB",4,"M","N"
"11445","XB",5,"M","O"
"11446","JD",6,"M","N"
"11447","XB",5,"M","O"
"11448","XA",3,"L","O"
"11449","XB",5,"M","O"
"11450","XA",2,"L","N"
"11451","CB",1,"L","N"
"11453","IB",2,"M","N"
"11454","XA",3,"L","O"
"11455","XA",1,"L","N"
"11456","XA",2,"L","N"
"11457","XA",1,"L","N"
"11459","01",3,"L","O"
"11460","XA",3,"L","O"
"11461","XA",2,"L","N"
"11462","PF",3,"M","N"
"11463","FN",3,"M","N"
"11464","XA",3,"L","O"
"11465","XA",3,"L","O"
"11466","CB",2,"L","O"
"11467","XA",2,"L","N"
"11468","DP",3,"L","O"
"11469","XA",3,"L","O"
"11470","XA",2,"L","N"
"11471","XA",1,"L","N"
"11472","XB",5,"M","O"
"11473","FI",2,"M","N"
"11474","CB",1,"L","N"
"11475","XA",1,"L","N"
"11476","XB",4,"M","N"
"11477","PF",2,"M","N"
"11478","IB",4,"M","N"
"11479","IB",5,"M","N"
"11480","XA",2,"L","N"
"11481","XB",4,"M","N"
"11482","JD",6,"M","N"
"11483","XB",4,"M","N"
"11484","XB",4,"M","N"
"11485","CB",1,"L","N"
"11486","XA",1,"L","N"
"11487","PG",3,"L","O"
"11488","IB",3,"M","N"
"11490","XB",5,"M","O"
"11491","XA",3,"L","O"
"11493","CY",1,"L","N"
"11494","XB",5,"M","O"
"11495","XA",2,"L","N"
"11496","FH",5,"M","N"
"11497","XA",1,"L","N"
"11498","JD",6,"M","O"
"11499","XA",1,"L","N"
"11500","XA",1,"L","N"
"11501","XA",1,"L","N"
"11503","XB",5,"M","O"
"11504","CY",1,"L","N"
"11505","CY",1,"L","N"
"11506","XA",2,"L","N"
"11507","CB",1,"L","N"
"11508","XA",1,"L","N"
"11509","CB",1,"L","N"
"11511","XA",1,"L","N"
"11512","FH",4,"M","N"
"11513","CB",2,"L","O"
"11514","XA",3,"L","O"
"11515","PF",4,"M","N"
"11516","XB",5,"M","O"
"11517","XA",2,"L","N"
"11518","CB",1,"L","N"
"11519","XA",1,"L","N"
"11520","XA",2,"L","N"
"11521","DP",3,"L","O"
"11522","XA",3,"L","N"
"11523","XB",4,"M","N"
"11525","FH",6,"M","O"
"11526","CD",2,"L","O"
"11527","XA",2,"L","N"
"11528","IB",4,"M","N"
"11529","DP",3,"L","N"
"11530","XA",3,"L","O"
"11531","XA",1,"L","N"
"11532","XB",4,"M","N"
"11533","XA",1,"L","N"
"11534","XB",4,"M","N"
"11535","XA",2,"L","N"
"11536","XB",4,"M","N"
"11537","DP",3,"L","N"
"11538","XA",1,"L","N"
"11539","CB",1,"L","N"
"11540","CB",1,"L","N"
"11541","01",3,"L","N"
"11542","XA",1,"L","N"
"11543","JD",6,"M","N"
"11544","JD",6,"M","N"
"11545","XA",1,"L","N"
"11546","XA",1,"L","N"
"11547","XB",5,"M","N"
"11548","XA",2,"L","N"
"11549","CD",1,"L","N"
"11550","DP",3,"L","O"
"11551","01",3,"L","O"
"11552","XA",3,"L","O"
"11553","01",3,"L","N"
"11554","PF",3,"M","N"
"11555","XA",3,"L","O"
"11556","XA",2,"L","N"
"11557","PM",3,"L","N"
"11558","XA",2,"L","N"
"11559","XB",5,"M","O"
"11560","01",3,"L","N"
"11561","XA",1,"L","N"
"11562","XA",3,"L","O"
"11563","CB",2,"L","O"
"11564","CD",2,"L","O"
"11565","XB",5,"M","O"
"11566","XA",1,"L","N"
"11567","01",3,"L","N"
"11568","XB",5,"M","O"
"11569","XA",2,"L","N"
"11570","XA",1,"L","N"
"11571","FH",3,"M","N"
"11572","CB",2,"L","O"
"11573","XB",5,"M","O"
"11574","CB",2,"L","O"
"11575","XA",2,"L","N"
"11576","XB",5,"M","O"
"11578","XB",5,"M","O"
"11580","JD",6,"M","N"
"11582","XB",5,"M","O"
"11584","FN",3,"M","N"
"11585","XB",4,"M","N"
"11586","XA",2,"L","N"
"11587","XA",2,"L","N"
"11588","XA",3,"L","O"
"11589","XA",1,"L","N"
"11590","XA",2,"L","N"
"11591","CB",2,"L","O"
"11592","CB",2,"L","N"
"11593","XB",5,"M","O"
"11594","CB",1,"L","N"
"11595","DP",3,"L","N"
"11596","XB",5,"M","O"
"11597","01",3,"L","O"
"11598","DP",3,"L","N"
"11599","XA",3,"L","O"
"11600","XA",1,"L","N"
"11601","XB",4,"M","N"
"11602","XB",4,"M","N"
"11604","XA",2,"L","N"
"11605","XB",5,"M","O"
"11606","XB",5,"M","O"
"11607","XA",2,"L","N"
"11608","XB",4,"M","N"
"11609","XA",1,"L","N"
"11610","FI",3,"M","N"
"11611","DP",3,"L","O"
"11612","XA",1,"L","N"
"11613","XA",1,"L","N"
"11614","XA",2,"L","N"
"11615","01",6,"M","O"
"11616","XA",2,"L","N"
"11617","XA",1,"L","N"
"11618","IB",6,"M","N"
"11619","PF",3,"M","N"
"11620","XA",1,"L","N"
"11621","XA",3,"L","O"
"11622","XA",1,"L","N"
"11623","XA",2,"L","N"
"11624","01",2,"L","N"
"11625","XB",4,"M","N"
"11627","CY",1,"L","N"
"11628","01",4,"M","N"
"11629","XA",1,"L","N"
"11630","XA",1,"L","N"
"11631","CB",2,"L","O"
"11632","XA",1,"L","N"
"11633","FI",3,"M","N"
"11635","XA",1,"L","N"
"11636","XB",4,"M","N"
"11637","XB",5,"M","O"
"11638","01",3,"L","O"
"11639","XA",2,"L","N"
"11640","CB",2,"L","O"
"11641","XA",3,"L","O"
"11642","XA",2,"L","N"
"11643","XA",1,"L","N"
"11645","CB",1,"L","N"
"11647","XB",4,"M","N"
"11648","JD",6,"M","N"
"11649","XA",3,"L","N"
"11650","XB",4,"M","N"
"11651","XA",1,"L","N"
"11652","DP",3,"L","O"
"11653","XB",4,"M","N"
"11654","CB",1,"L","N"
"11655","01",3,"L","O"
"11656","XB",5,"M","N"
"11657","JD",6,"M","N"
"11659","XB",4,"M","N"
"11660","IB",6,"M","N"
"11661","DP",3,"L","O"
"11662","CB",2,"L","O"
"11663","XA",3,"L","O"
"11664","FH",6,"M","O"
"11665","XB",5,"M","O"
"11666","XA",3,"L","O"
"11667","PF",4,"M","N"
"11668","XA",1,"L","N"
"11669","XA",2,"L","N"
"11670","XA",2,"L","N"
"11671","XA",2,"L","N"
"11672","CD",2,"L","O"
"11673","CB",1,"L","N"
"11674","XA",1,"L","N"
"11675","IB",6,"M","O"
"11676","IB",6,"M","O"
"11677","CB",2,"L","O"
"11679","XA",3,"L","O"
"11680","PF",3,"M","N"
"11681","XA",1,"L","N"
"11682","XB",4,"M","N"
"11683","XA",2,"L","N"
"11684","XA",1,"L","N"
"11685","FH",4,"M","N"
"11686","XA",3,"L","O"
"11687","XA",3,"L","O"
"11689","CB",1,"L","N"
"11690","FH",6,"M","N"
"11691","XB",5,"M","N"
"11692","XB",4,"M","N"
"11693","XA",1,"L","N"
"11694","PF",3,"M","N"
"11695","01",3,"L","O"
"11696","PF",3,"M","N"
"11697","XA",1,"L","N"
"11698","XA",2,"L","N"
"11699","UC",1,"L","N"
"11700","FH",4,"M","N"
"11701","XA",1,"L","N"
"11702","XB",5,"M","O"
"11703","XB",5,"M","O"
"11704","XA",2,"L","N"
"11705","XA",2,"L","N"
"11706","CB",1,"L","N"
"11707","XA",3,"L","O"
"11708","PF",5,"M","O"
"11709","XA",3,"L","O"
"11710","XA",1,"L","N"
"11711","FN",3,"M","N"
"11712","CB",2,"L","O"
"11714","01",3,"L","O"
"11715","FI",3,"M","N"
"11716","XA",2,"L","N"
"11717","XA",1,"L","N"
"11718","XB",5,"M","O"
"11720","XA",1,"L","N"
"11721","XA",1,"L","N"
"11722","JC",6,"M","N"
"11723","XA",1,"L","N"
"11724","XA",3,"L","O"
"11725","XA",1,"L","N"
"11726","XA",1,"L","N"
"11727","DP",3,"L","N"
"11728","XB",4,"M","N"
"11730","CD",2,"L","O"
"11731","01",3,"L","N"
"11732","DP",3,"L","O"
"11733","XA",1,"L","N"
"11734","XA",1,"L","N"
"11735","XA",1,"L","N"
"11736","CB",1,"L","N"
"11737","XA",1,"L","N"
"11738","DP",3,"L","O"
"11739","XB",4,"M","N"
"11740","01",6,"M","O"
"11741","01",6,"M","O"
"11742","CY",1,"L","N"
"11743","XA",2,"L","N"
"11744","CY",1,"L","N"
"11745","XB",4,"M","N"
"11746","CY",1,"L","N"
"11747","CB",1,"L","N"
"11748","XB",4,"M","N"
"11749","XB",4,"M","N"
"11750","JD",6,"M","O"
"11752","XA",1,"L","N"
"11753","XA",3,"L","O"
"11755","01",3,"L","N"
"11756","XB",4,"M","N"
"11757","CB",1,"L","N"
"11758","XA",1,"L","N"
"11760","CB",1,"L","N"
"11761","XB",4,"M","N"
"11762","XA",1,"L","N"
"11763","XB",5,"M","O"
"11765","XA",1,"L","N"
"11766","XA",2,"L","N"
"11767","XB",4,"M","N"
"11768","XA",2,"L","N"
"11769","XB",5,"M","O"
"11770","UC",1,"L","N"
"11771","DP",3,"L","O"
"11774","XA",3,"L","N"
"11775","01",5,"M","O"
"11776","FN",3,"M","N"
"11777","XB",5,"M","O"
"11779","FH",5,"M","N"
"11780","FH",6,"M","O"
"11781","XA",1,"L","N"
"11782","XB",4,"M","N"
"11783","XA",3,"L","N"
"11784","XA",1,"L","N"
"11785","DP",3,"L","N"
"11786","XB",4,"M","N"
"11787","XA",2,"L","N"
"11788","CY",1,"L","N"
"11789","XB",4,"M","N"
"11790","XB",5,"M","O"
"11791","JD",6,"M","N"
"11793","PG",2,"L","N"
"11794","XA",2,"L","N"
"11795","FH",3,"M","N"
"11796","XA",3,"L","O"
"11797","XA",2,"L","N"
"11798","CB",2,"L","O"
"11799","XA",1,"L","N"
"11800","XA",1,"L","N"
"11801","XA",1,"L","N"
"11802","XA",1,"L","N"
"11803","XB",5,"M","O"
"11804","XB",4,"M","N"
"11805","FH",4,"M","N"
"11806","CY",1,"L","N"
"11807","FH",2,"M","N"
"11808","JD",6,"M","O"
"11809","XB",4,"M","N"
"11810","CB",1,"L","N"
"11811","XA",1,"L","N"
"11812","XB",5,"M","O"
"11813","XA",1,"L","N"
"11814","XA",2,"L","N"
"11815","XB",5,"M","O"
"11816","XA",2,"L","N"
"11817","PF",2,"M","N"
"11818","FH",6,"M","O"
"11819","XA",1,"L","N"
"11820","XB",5,"M","O"
"11821","FH",6,"M","N"
"11822","XA",1,"L","N"
"11823","XA",3,"L","O"
"11824","XA",1,"L","N"
"11825","FI",1,"M","N"
"11827","XA",2,"L","N"
"11828","XA",1,"L","N"
"11829","FI",3,"M","N"
"11830","XA",1,"L","N"
"11831","FH",6,"M","N"
"11832","XA",2,"L","N"
"11833","PL",4,"M","N"
"11834","FH",6,"M","O"
"11836","XB",4,"M","N"
"11837","01",3,"L","O"
"11838","XB",5,"M","O"
"11839","XA",1,"L","N"
"11840","PF",2,"M","N"
"11841","XA",3,"L","O"
"11842","XA",1,"L","N"
"11843","XA",3,"L","O"
"11844","CY",1,"L","N"
"11845","XA",1,"L","N"
"11846","XA",1,"L","N"
"11847","XA",1,"L","N"
"11848","XA",1,"L","N"
"11849","XA",3,"L","O"
"11850","JD",6,"M","O"
"11851","JD",6,"M","O"
"11852","XA",1,"L","N"
"11853","CB",2,"L","O"
"11854","XA",2,"L","N"
"11855","XA",1,"L","N"
"11856","XA",2,"L","N"
"11857","XA",2,"L","N"
"11858","01",3,"L","O"
"11859","CB",2,"L","O"
"11860","XA",2,"L","N"
"11861","FI",2,"M","N"
"11862","XA",1,"L","N"
"11863","FH",6,"M","N"
"11864","XA",3,"L","O"
"11865","01",6,"M","O"
"11866","DP",3,"L","O"
"11867","XA",1,"L","N"
"11868","XA",1,"L","N"
"11869","CB",2,"L","O"
"11871","DP",3,"L","N"
"11872","CY",1,"L","N"
"11873","XB",5,"M","O"
"11874","01",3,"L","O"
"11875","XB",5,"M","O"
"11876","XB",5,"M","O"
"11877","XA",1,"L","N"
"11879","XA",1,"L","N"
"11880","XA",1,"L","N"
"11881","DP",3,"L","O"
"11882","01",4,"M","N"
"11883","XA",1,"L","N"
"11884","XA",3,"L","O"
"11885","FN",4,"M","N"
"11886","XA",1,"L","N"
"11887","XA",1,"L","N"
"11888","XB",5,"M","O"
"11889","XB",5,"M","O"
"11890","DP",3,"L","O"
"11891","PD",1,"L","N"
"11892","XA",1,"L","N"
"11893","XA",3,"L","O"
"11894","FH",2,"M","N"
"11895","IB",2,"M","N"
"11896","XA",2,"L","N"
"11897","CB",2,"L","O"
"11898","JD",6,"M","N"
"11899","CB",1,"L","N"
"11900","XA",1,"L","N"
"11901","XA",1,"L","N"
"11902","XA",3,"L","O"
"11903","XA",2,"L","N"
"11906","XB",4,"M","N"
"11907","XA",1,"L","N"
"11908","FE",3,"M","N"
"11909","CB",1,"L","N"
"11910","XA",2,"L","N"
"11911","XB",5,"M","O"
"11912","01",2,"L","N"
"11913","XA",3,"L","O"
"11914","XA",1,"L","N"
"11915","XA",1,"L","N"
"11916","PF",2,"M","N"
"11917","PF",3,"M","N"
"11918","01",3,"L","O"
"11919","XA",2,"L","N"
"11920","XA",3,"L","O"
"11922","XA",3,"L","O"
"11923","XA",1,"L","N"
"11924","XA",3,"L","O"
"11925","IB",3,"M","N"
"11926","CY",1,"L","N"
"11927","XA",3,"L","O"
"11928","XA",1,"L","N"
"11929","CB",1,"L","N"
"11930","XA",3,"L","O"
"11931","XB",4,"M","N"
"11932","XA",2,"L","N"
"11934","01",3,"L","O"
"11935","CY",1,"L","N"
"11936","CB",2,"L","O"
"11937","01",4,"M","O"
"11938","XA",2,"L","N"
"11939","CB",2,"L","O"
"11941","XB",5,"M","O"
"11942","XB",4,"M","N"
"11943","XB",5,"M","O"
"11944","XA",2,"L","N"
"11945","XB",5,"M","O"
"11946","XA",2,"L","N"
"11947","JD",6,"M","N"
"11948","XA",3,"L","O"
"11949","PF",5,"M","O"
