"","TYP_DIPL","DEGETU","CURSUS_LMD","RES"
"242","CB",1,"L","N"
"243","XB",4,"M","N"
"244","XA",1,"L","N"
"245","XA",2,"L","N"
"246","FH",5,"M","N"
"247","XA",3,"L","N"
"248","PF",2,"M","N"
"249","XA",1,"L","N"
"250","XA",3,"L","O"
"251","CY",1,"L","N"
"252","CB",2,"L","O"
"253","XB",5,"M","O"
"254","CB",1,"L","N"
"255","IB",3,"M","N"
"256","XA",3,"L","O"
"257","PF",3,"M","N"
"258","CY",1,"L","N"
"259","XA",1,"L","N"
"260","XA",2,"L","N"
"261","DP",3,"L","O"
"262","XA",3,"L","O"
"263","FH",6,"M","N"
"264","XA",1,"L","N"
"265","01",3,"L","O"
"266","XA",3,"L","O"
"268","JD",6,"M","N"
"269","XB",5,"M","O"
"270","XB",4,"M","N"
"271","CB",1,"L","N"
"272","01",3,"L","N"
"273","XA",2,"L","N"
"274","CB",1,"L","N"
"275","CB",1,"L","N"
"276","CB",2,"L","O"
"278","XA",1,"L","N"
"279","XA",3,"L","O"
"280","XA",1,"L","N"
"281","XA",3,"L","O"
"282","CB",1,"L","N"
"283","XA",1,"L","N"
"284","FE",4,"M","N"
"285","XB",4,"M","N"
"286","JC",6,"M","O"
"287","JC",6,"M","O"
"288","XB",5,"M","N"
"289","XA",1,"L","N"
"290","XA",1,"L","N"
"291","CB",1,"L","N"
"292","XA",2,"L","N"
"293","01",4,"M","O"
"294","XA",3,"L","O"
"295","XA",1,"L","N"
"296","PF",2,"M","N"
"297","IB",3,"M","N"
"298","FE",3,"M","N"
"299","XA",1,"L","N"
"300","DP",3,"L","O"
"301","IB",6,"M","N"
"302","XA",3,"L","O"
"303","XB",4,"M","N"
"304","CY",1,"L","N"
"305","CY",1,"L","N"
"306","XA",2,"L","N"
"307","IB",2,"M","N"
"308","XA",3,"L","O"
"309","XB",5,"M","O"
"310","XA",1,"L","N"
"311","XA",1,"L","N"
"312","CY",1,"L","N"
"313","XA",1,"L","N"
"314","CB",2,"L","O"
"315","XA",2,"L","N"
"316","XB",5,"M","O"
"317","01",6,"M","O"
"318","XA",1,"L","N"
"319","XA",2,"L","N"
"320","CB",1,"L","N"
"321","XA",1,"L","N"
"322","XA",2,"L","N"
"323","XA",3,"L","N"
"324","XA",1,"L","N"
"325","XB",5,"M","O"
"326","XA",1,"L","N"
"327","CY",1,"L","N"
"328","CB",1,"L","N"
"329","IB",6,"M","N"
"330","XA",2,"L","N"
"331","CY",1,"L","N"
"333","XA",1,"L","N"
"334","XA",2,"L","N"
"335","XA",1,"L","N"
"336","XB",5,"M","O"
"337","JD",6,"M","N"
"338","XA",1,"L","N"
"339","XA",1,"L","N"
"340","JC",6,"M","O"
"341","JC",6,"M","O"
"342","01",4,"M","O"
"343","XA",2,"L","N"
"344","XA",1,"L","N"
"345","XB",5,"M","O"
"346","XB",5,"M","O"
"347","FH",5,"M","N"
"348","XA",1,"L","N"
"349","XA",2,"L","N"
"350","XA",3,"L","N"
"351","XB",4,"M","N"
"352","XA",3,"L","N"
"353","CB",1,"L","N"
"354","XA",2,"L","N"
"355","JC",6,"M","N"
